"year","MHW","baseline_region","latitude","longitude","site","affiliated_mpa","mpa_class","mpa_designation","zone","transect","pisaster_brevispinus","pterygophora_californica","eisenia_arborea","macrocystis_pyrifera","pisaster_giganteus","stephanocystis_osmundacea","strongylocentrotus_purpuratus","mesocentrotus_franciscanus","patiria_miniata","tethya_californiana","kelletia_kelletii","orthasterias_koehleri","pisaster_ochraceus","pycnopodia_helianthoides","loxorhynchus_grandis","neobernaya_spadicea","cancridae","lytechinus_pictus","dermasterias_imbricata","crassadoma_gigantea","henricia_leviuscula","nereocystis_luetkeana","pomaulax_gibberosus","aplysia_californica","cryptochiton_stelleri","mediaster_aequalis","loxorhynchus_crispatus_scyra_acutifrons","stylaster_californicus","haliotis_rufescens","metridium","megathura_crenulata","alaria_marginata","anthopleura_sola","pugettia_producta","megastraea_undosa","anthopleura_xanthogrammica","pugettia_richii","costaria_costata","cucumaria_miniata","cribrinopsis_albopunctata","ceratostoma_foliatum","pugettia_foliata","styela_montereyensis","apostichopus_parvimensis","apostichopus_californicus","laminaria_setchellii","balanus_nubilus","laminaria_farlowii","centrostephanus_coronatus","pleurophycus_gardneri","pachycerianthus_fimbriatus","haliotis_walallensis","haliotis_kamtschatkana","linckia_columbiae","solaster_dawsoni","craniella_arb","aplysia_vaccaria","cryptolithodes_sitchensis","leptasterias_hexactis","whole_urchin_test","macrocystis_stipes","urticina"
2007,"before","CENTRAL",36.512613,-121.948765,"WESTON_UC","Point Lobos SMR","SMR","SMR","OUTER","2",0,33,4,6,5,0,1,0,81,6,0,2,0,2,0,0,1,0,3,0,3,0,4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3
2007,"before","CENTRAL",36.522225,-121.943542,"BLUEFISH_UC","Point Lobos SMR","SMR","SMR","INNER","1",0,67,0,0,1,8,0,0,32,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,10
2007,"before","CENTRAL",36.522225,-121.943542,"BLUEFISH_UC","Point Lobos SMR","SMR","SMR","INNER","2",0,360,0,2,0,13,0,0,23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2007,"before","CENTRAL",36.522225,-121.943542,"BLUEFISH_UC","Point Lobos SMR","SMR","SMR","MID","1",0,17,0,20,0,8,0,0,88,15,0,2,0,2,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,6
2007,"before","CENTRAL",36.522225,-121.943542,"BLUEFISH_UC","Point Lobos SMR","SMR","SMR","MID","2",0,15,0,16,0,12,0,0,106,5,0,1,0,0,0,0,0,0,0,0,1,0,6,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2
2007,"before","CENTRAL",36.522225,-121.943542,"BLUEFISH_UC","Point Lobos SMR","SMR","SMR","OUTER","1",0,1,0,22,1,6,0,0,82,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5
2007,"before","CENTRAL",36.522225,-121.943542,"BLUEFISH_UC","Point Lobos SMR","SMR","SMR","OUTER","2",0,3,0,3,0,4,0,0,86,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4
2007,"before","CENTRAL",36.52381268,-121.945094,"BLUEFISH_DC","Point Lobos SMR","SMR","SMR","INNER","1",0,74,30,2,5,3,1,0,123,4,0,0,0,5,0,0,0,0,1,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,77,0,0,17,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15
2007,"before","CENTRAL",36.52381268,-121.945094,"BLUEFISH_DC","Point Lobos SMR","SMR","SMR","INNER","2",0,1,8,1,2,1,1,0,1,2,0,0,2,0,0,0,0,0,1,0,4,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2007,"before","CENTRAL",36.52381268,-121.945094,"BLUEFISH_DC","Point Lobos SMR","SMR","SMR","MID","1",0,0,102,13,9,0,3,0,54,29,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,2,25,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
2007,"before","CENTRAL",36.52381268,-121.945094,"BLUEFISH_DC","Point Lobos SMR","SMR","SMR","MID","2",0,1,68,9,10,0,7,1,87,11,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,104,2,0,1,0,0,0,0,0,0,0,5,44,4,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1
2007,"before","CENTRAL",36.52381268,-121.945094,"BLUEFISH_DC","Point Lobos SMR","SMR","SMR","OUTER","1",0,1,53,4,0,0,0,0,188,16,1,1,0,0,0,0,1,0,0,0,4,0,0,0,1,2,0,18,0,0,0,0,0,0,0,0,0,1,5,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2007,"before","CENTRAL",36.52381268,-121.945094,"BLUEFISH_DC","Point Lobos SMR","SMR","SMR","OUTER","2",0,3,22,7,4,0,1,2,158,17,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,11,1,69,1,0,0,0,0,0,0,0,0,0,4,37,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2007,"before","CENTRAL",36.525267,-121.930507,"MONASTERY_UC","Point Lobos SMR","SMR","SMR","INNER","1",0,1,0,36,21,2,0,0,61,4,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,103,3
2007,"before","CENTRAL",36.525267,-121.930507,"MONASTERY_UC","Point Lobos SMR","SMR","SMR","INNER","2",0,3,0,21,19,0,0,0,50,4,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,45,0,0,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1
2007,"before","CENTRAL",36.525267,-121.930507,"MONASTERY_UC","Point Lobos SMR","SMR","SMR","MID","1",1,2,0,39,12,6,0,0,72,9,0,2,0,0,0,0,0,0,2,1,8,2,0,0,2,3,0,0,2,0,2,0,0,0,0,0,0,0,1,48,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,152,3
2007,"before","CENTRAL",36.525267,-121.930507,"MONASTERY_UC","Point Lobos SMR","SMR","SMR","MID","2",0,0,0,51,3,20,1,0,104,10,0,0,0,3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,47,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,231,6
2007,"before","CENTRAL",36.525267,-121.930507,"MONASTERY_UC","Point Lobos SMR","SMR","SMR","OUTER","1",0,0,0,32,2,0,1,0,48,0,0,0,0,1,0,0,1,0,4,0,1,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,2
2007,"before","CENTRAL",36.525267,-121.930507,"MONASTERY_UC","Point Lobos SMR","SMR","SMR","OUTER","2",0,0,0,38,5,0,0,1,114,23,0,0,0,0,0,0,0,0,4,2,1,1,2,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,22,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,3
2007,"before","CENTRAL",36.525415,-121.933322,"MONASTERY_DC","Point Lobos SMR","SMR","SMR","INNER","1",0,3,7,12,2,8,2,0,33,6,0,0,0,0,0,0,0,0,1,1,1,14,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,44,0,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1
2007,"before","CENTRAL",36.525415,-121.933322,"MONASTERY_DC","Point Lobos SMR","SMR","SMR","INNER","2",0,8,8,6,4,9,1,1,43,0,0,1,0,1,0,0,0,0,2,0,3,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,39,0,0,27,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5
2007,"before","CENTRAL",36.525415,-121.933322,"MONASTERY_DC","Point Lobos SMR","SMR","SMR","MID","1",0,1,0,57,5,0,3,0,100,14,0,1,0,1,0,0,0,0,0,2,8,12,3,0,1,1,1,0,0,0,1,0,0,0,0,0,2,1,28,22,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3
2007,"before","CENTRAL",36.525415,-121.933322,"MONASTERY_DC","Point Lobos SMR","SMR","SMR","MID","2",0,0,0,18,6,0,0,0,119,21,2,3,0,4,0,0,0,0,1,4,4,11,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,47,34,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
2007,"before","CENTRAL",36.525415,-121.933322,"MONASTERY_DC","Point Lobos SMR","SMR","SMR","OUTER","1",0,10,0,29,4,5,0,6,118,3,3,4,0,1,0,0,0,0,1,1,4,0,5,0,0,6,2,0,2,0,1,0,0,0,0,0,0,0,33,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3
2007,"before","CENTRAL",36.525415,-121.933322,"MONASTERY_DC","Point Lobos SMR","SMR","SMR","OUTER","2",0,2,0,2,2,0,0,4,127,4,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,46,14,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2007,"before","CENTRAL",36.537439,-121.93567,"BUTTERFLY_DC","Carmel Bay SMCA","SMCA","SMCA","INNER","1",0,62,0,3,3,11,0,0,21,0,0,0,1,0,0,0,0,0,1,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
2007,"before","CENTRAL",36.537439,-121.93567,"BUTTERFLY_DC","Carmel Bay SMCA","SMCA","SMCA","INNER","2",0,65,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0
2007,"before","CENTRAL",36.537439,-121.93567,"BUTTERFLY_DC","Carmel Bay SMCA","SMCA","SMCA","MID","1",0,0,0,15,2,3,1,0,102,2,0,3,1,0,0,0,0,0,4,0,11,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,3,23,0,0,7,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,0,0,151,0
2007,"before","CENTRAL",36.537439,-121.93567,"BUTTERFLY_DC","Carmel Bay SMCA","SMCA","SMCA","MID","2",0,0,0,28,5,0,3,0,68,6,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,11,18,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,3
2007,"before","CENTRAL",36.537439,-121.93567,"BUTTERFLY_DC","Carmel Bay SMCA","SMCA","SMCA","OUTER","1",0,0,0,2,11,0,0,0,79,9,0,0,0,0,1,2,0,0,0,1,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1
2007,"before","CENTRAL",36.537439,-121.93567,"BUTTERFLY_DC","Carmel Bay SMCA","SMCA","SMCA","OUTER","2",0,1,0,11,0,0,1,0,88,6,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,81,4
2007,"before","CENTRAL",36.539655,-121.936297,"BUTTERFLY_UC","Carmel Bay SMCA","SMCA","SMCA","INNER","1",0,2,0,8,7,6,2,0,49,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1
2007,"before","CENTRAL",36.539655,-121.936297,"BUTTERFLY_UC","Carmel Bay SMCA","SMCA","SMCA","INNER","2",0,1,0,11,7,7,0,0,102,11,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0
2007,"before","CENTRAL",36.539655,-121.936297,"BUTTERFLY_UC","Carmel Bay SMCA","SMCA","SMCA","MID","1",0,0,0,40,2,0,1,0,108,25,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,104,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,1
2007,"before","CENTRAL",36.539655,-121.936297,"BUTTERFLY_UC","Carmel Bay SMCA","SMCA","SMCA","MID","2",0,0,0,46,2,0,5,0,39,8,0,0,0,0,0,0,0,0,1,1,4,3,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
2007,"before","CENTRAL",36.539655,-121.936297,"BUTTERFLY_UC","Carmel Bay SMCA","SMCA","SMCA","OUTER","1",0,7,0,6,1,3,0,0,136,2,1,1,0,1,0,0,0,0,1,1,2,0,3,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,387,6
2007,"before","CENTRAL",36.539655,-121.936297,"BUTTERFLY_UC","Carmel Bay SMCA","SMCA","SMCA","OUTER","2",0,10,0,8,7,3,6,2,84,4,1,0,0,0,1,0,0,0,0,0,2,0,30,0,1,3,0,14,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,1,0,0,67,0,0,0,0,0,0,0,0,0,0,55,0
2007,"before","CENTRAL",36.559412,-121.955191,"PESCADERO_DC","Carmel Bay SMCA","SMCA","ref","INNER","1",0,32,0,4,9,20,0,0,10,2,0,0,2,3,0,0,0,0,7,0,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
2007,"before","CENTRAL",36.559412,-121.955191,"PESCADERO_DC","Carmel Bay SMCA","SMCA","ref","INNER","2",0,39,0,13,8,5,0,0,10,6,0,0,0,0,0,0,0,0,2,0,0,93,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,7,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0
2007,"before","CENTRAL",36.559412,-121.955191,"PESCADERO_DC","Carmel Bay SMCA","SMCA","ref","MID","1",0,7,0,52,1,0,0,0,96,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,4
2007,"before","CENTRAL",36.559412,-121.955191,"PESCADERO_DC","Carmel Bay SMCA","SMCA","ref","MID","2",0,0,0,16,17,0,0,0,63,8,0,1,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1
2007,"before","CENTRAL",36.559412,-121.955191,"PESCADERO_DC","Carmel Bay SMCA","SMCA","ref","OUTER","1",0,16,0,14,1,1,0,0,97,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15,2
2007,"before","CENTRAL",36.559412,-121.955191,"PESCADERO_DC","Carmel Bay SMCA","SMCA","ref","OUTER","2",0,0,0,4,0,1,0,0,90,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1
2007,"before","CENTRAL",36.559729,-121.944014,"STILLWATER_DC","Carmel Bay SMCA","SMCA","SMCA","INNER","1",0,27,0,10,2,16,0,0,43,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
2007,"before","CENTRAL",36.559729,-121.944014,"STILLWATER_DC","Carmel Bay SMCA","SMCA","SMCA","INNER","2",0,12,1,7,7,26,0,0,40,10,1,1,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0
2007,"before","CENTRAL",36.559729,-121.944014,"STILLWATER_DC","Carmel Bay SMCA","SMCA","SMCA","MID","1",0,5,0,13,1,5,0,0,18,5,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1
2007,"before","CENTRAL",36.559729,-121.944014,"STILLWATER_DC","Carmel Bay SMCA","SMCA","SMCA","MID","2",3,1,0,24,10,18,0,0,170,32,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,7
2007,"before","CENTRAL",36.559729,-121.944014,"STILLWATER_DC","Carmel Bay SMCA","SMCA","SMCA","OUTER","1",0,8,0,7,0,4,0,0,42,5,0,1,0,0,0,0,1,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,3
2007,"before","CENTRAL",36.559729,-121.944014,"STILLWATER_DC","Carmel Bay SMCA","SMCA","SMCA","OUTER","2",0,0,0,2,0,1,0,0,181,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
2007,"before","CENTRAL",36.560116,-121.94732,"STILLWATER_UC","Carmel Bay SMCA","SMCA","SMCA","INNER","1",0,37,0,3,4,3,0,0,42,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2007,"before","CENTRAL",36.560116,-121.94732,"STILLWATER_UC","Carmel Bay SMCA","SMCA","SMCA","INNER","2",0,8,0,20,3,7,0,0,51,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
2007,"before","CENTRAL",36.560116,-121.94732,"STILLWATER_UC","Carmel Bay SMCA","SMCA","SMCA","MID","1",0,56,0,4,7,13,0,0,71,27,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1
2007,"before","CENTRAL",36.560116,-121.94732,"STILLWATER_UC","Carmel Bay SMCA","SMCA","SMCA","MID","2",0,54,0,0,3,11,0,0,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2007,"before","CENTRAL",36.560116,-121.94732,"STILLWATER_UC","Carmel Bay SMCA","SMCA","SMCA","OUTER","1",0,9,0,1,0,14,1,0,27,8,0,0,0,0,0,0,0,0,0,0,1,9,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0
2007,"before","CENTRAL",36.560116,-121.94732,"STILLWATER_UC","Carmel Bay SMCA","SMCA","SMCA","OUTER","2",0,19,0,0,0,37,0,0,77,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3
2007,"before","CENTRAL",36.561121,-121.959761,"PESCADERO_UC","Carmel Bay SMCA","SMCA","ref","INNER","1",0,4,0,1,6,7,2,0,8,1,0,0,2,0,0,0,0,0,2,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,29,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2007,"before","CENTRAL",36.561121,-121.959761,"PESCADERO_UC","Carmel Bay SMCA","SMCA","ref","INNER","2",0,24,0,3,7,17,0,0,42,1,0,0,0,3,0,0,0,0,2,0,4,0,3,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4
